n,time_ms
46100,5.715
46200,5.489
46300,5.862
46400,5.704
46500,5.73
46600,5.653
46700,5.953
46800,5.542
46900,5.649
47000,5.758
47100,5.771
47200,5.776
47300,5.718
47400,6.156
47500,5.967
47600,5.86
47700,6.175
47800,5.876
47900,5.873
48000,5.979
48100,5.966
48200,5.81
48300,5.942
48400,5.85
48500,5.903
48600,5.901
48700,6.073
48800,6.029
48900,6.091
49000,6.156
49100,6.107
49200,6.077
49300,6.217
49400,6.182
49500,6.257
49600,6.319
49700,6.03
49800,6.04
49900,6.251
50000,6.011
50100,5.856
50200,6.255
50300,6.234
50400,6.2
50500,6.381
50600,6.436
50700,6.211
50800,6.179
50900,6.236
51000,6.192
51100,6.095
51200,6.299
51300,6.498
51400,6.417
51500,6.362
51600,6.18
51700,6.383
51800,6.327
51900,6.494
52000,6.278
52100,6.691
52200,6.721
52300,6.607
52400,6.501
52500,6.406
52600,6.518
52700,6.525
52800,6.602
52900,6.471
53000,6.818
53100,6.561
53200,6.592
53300,6.665
53400,6.455
53500,6.481
53600,6.574
53700,6.633
53800,6.618
53900,6.842
54000,6.593
54100,6.778
54200,6.697
54300,6.824
54400,6.813
54500,6.632
54600,6.834
54700,6.88
54800,6.902
54900,6.714
55000,6.888
55100,7.062
55200,6.94
55300,6.92
55400,6.671
55500,6.967
55600,6.884
55700,6.733
55800,7.038
55900,6.765
56000,6.826
56100,6.919
56200,7.062
56300,7.01
56400,7.109
56500,7.272
56600,7.035
56700,7.012
56800,6.87
56900,7.01
57000,7.126
57100,7.117
57200,7.347
57300,7.22
57400,7.231
57500,7.412
57600,7.257
57700,7.348
57800,7.132
57900,7.269
58000,7.329
58100,7.336
58200,7.378
58300,7.421
58400,7.263
58500,7.67
58600,7.454
58700,7.358
58800,7.603
58900,7.59
59000,7.354
59100,7.24
59200,7.528
59300,7.323
59400,7.291
59500,7.417
59600,7.412
59700,7.556
59800,7.578
59900,7.545
60000,8.345
60100,7.514
60200,8.223
60300,7.986
60400,7.982
60500,7.922
60600,7.617
60700,7.511
60800,7.416
60900,7.761
61000,7.894
61100,7.545
61200,7.853
61300,7.792
61400,7.831
61500,7.709
61600,7.684
61700,7.726
61800,7.86
61900,7.736
62000,7.791
62100,7.761
62200,7.83
62300,8.049
62400,7.926
62500,8.049
62600,8.008
62700,7.906
62800,8.122
62900,8.078
63000,8.115
63100,7.906
63200,7.967
63300,7.978
63400,8.024
63500,7.903
63600,8.117
63700,8.091
63800,8.124
63900,8.075
64000,8.367
64100,8.335
64200,8.245
64300,8.189
64400,8.164
64500,8.12
64600,8.305
64700,8.517
64800,8.072
64900,8.022
65000,8.212
65100,8.151
65200,8.139
65300,8.184
65400,8.088
65500,8.425
65600,8.371
65700,8.257
65800,8.401
65900,8.381
66000,8.383
66100,8.442
66200,8.149
66300,8.339
66400,8.414
66500,8.307
66600,8.287
66700,8.527
66800,8.491
66900,8.538
67000,8.443
67100,8.311
67200,8.573
67300,8.599
67400,8.639
67500,8.846
67600,8.528
67700,8.796
67800,8.436
67900,8.7
68000,8.776
68100,8.66
68200,8.79
68300,8.439
68400,8.454
68500,8.524
68600,8.756
68700,8.728
68800,8.765
68900,8.826
69000,8.731
69100,8.696
69200,8.727
69300,8.658
69400,8.799
69500,8.772
69600,8.975
69700,8.774
69800,8.81
69900,9.204
70000,8.917
70100,8.939
70200,8.88
70300,8.892
70400,9.047
70500,9.173
70600,8.999
70700,8.793
70800,9.017
70900,9.133
71000,8.956
71100,9.411
71200,8.934
71300,8.926
71400,9.127
71500,9.134
71600,9.154
71700,9.115
71800,8.964
71900,9.152
72000,9.331
72100,9.213
72200,9.081
72300,8.987
72400,9.322
72500,9.047
72600,9.312
72700,9.324
72800,9.445
72900,9.051
73000,9.126
73100,9.361
73200,9.346
73300,9.287
73400,9.31
73500,9.43
73600,9.642
73700,9.35
73800,9.357
73900,9.331
74000,9.42
74100,9.599
74200,9.331
74300,9.369
74400,9.358
74500,9.316
74600,9.907
74700,9.796
74800,9.47
74900,9.428
75000,9.693
75100,9.496
75200,9.607
75300,9.769
75400,9.719
75500,9.584
75600,9.809
75700,9.529
75800,9.499
75900,9.553
76000,9.77
76100,9.532
76200,9.782
76300,9.888
76400,9.817
76500,9.84
76600,9.719
76700,9.938
76800,9.748
76900,9.93
77000,9.726
77100,9.959
77200,9.806
77300,10.149
77400,9.686
77500,9.812
77600,9.939
77700,10.172
77800,10.093
77900,9.987
78000,10.042
78100,10.023
78200,10.277
78300,9.995
78400,10.016
78500,9.913
78600,10.088
78700,10.073
78800,10.184
78900,10.042
79000,10.259
79100,10.073
79200,9.906
79300,10.777
79400,10.1
79500,10.265
79600,10.095
79700,10.236
79800,10.378
79900,10.32
80000,10.187
80100,10.273
80200,10.193
80300,10.301
80400,10.301
80500,10.25
80600,10.487
80700,10.304
80800,10.838
80900,10.331
81000,10.4
81100,10.527
81200,10.505
81300,10.721
81400,10.49
81500,10.542
81600,10.427
81700,10.571
81800,10.525
81900,10.806
82000,10.556
82100,10.819
82200,10.447
82300,10.481
