n,time_ms
500,0.124
1000,0.293
1500,0.44
2000,0.579
2500,0.749
3000,0.951
3500,1.133
4000,1.226
4500,1.3
5000,1.589
5500,1.799
6000,1.866
6500,2.024
7000,2.406
7500,2.429
8000,2.46
8500,2.884
9000,3.108
9500,3.153
10000,3.257
10500,3.393
11000,3.616
11500,3.91
12000,4.249
12500,4.233
13000,4.513
13500,4.725
14000,4.859
14500,5.095
15000,5.06
15500,5.163
16000,5.283
16500,5.434
17000,5.621
17500,6.228
18000,6.128
18500,6.255
19000,6.512
19500,6.537
20000,7.186
20500,6.974
21000,7.176
21500,7.635
22000,7.866
22500,8.104
23000,8.833
23500,8.338
24000,8.722
24500,8.773
25000,8.624
25500,9.215
26000,8.949
26500,9.92
27000,9.448
27500,9.987
28000,9.899
28500,10.575
29000,10.151
29500,10.269
30000,10.422
30500,11.581
31000,11.229
31500,11.129
32000,11.663
32500,12.156
33000,11.442
33500,12.258
34000,12.504
34500,12.397
35000,13.786
35500,13.708
36000,12.736
36500,13.246
37000,13.805
37500,13.839
38000,14.476
38500,14.445
39000,15.316
39500,14.996
40000,15.746
40500,16.27
41000,16.303
41500,17.11
42000,16.022
42500,16.349
43000,17.414
43500,15.957
44000,17.165
44500,17.951
45000,17.46
45500,18.49
46000,19.775
46500,17.705
47000,18.148
47500,18.619
48000,19.392
48500,21.523
49000,18.865
49500,19.557
50000,19.15
50500,19.744
51000,21.268
51500,20.605
52000,20.343
52500,19.853
53000,20.374
53500,20.998
54000,21.437
54500,21.021
55000,21.693
55500,20.704
56000,21.443
56500,23.247
57000,22.708
57500,23.459
58000,23.332
58500,23.305
59000,22.788
59500,23.53
60000,25.102
60500,24.626
61000,22.824
61500,23.625
62000,23.308
62500,24.216
63000,24.686
63500,24.763
64000,25.481
64500,24.711
65000,25.054
65500,25.675
66000,26.325
66500,26.613
67000,26.779
67500,26.689
68000,27.432
68500,27.222
69000,27.649
69500,27.119
70000,27.071
70500,26.949
71000,27.748
71500,28.509
72000,29.496
72500,28.638
73000,28.995
73500,29.524
74000,29.972
74500,28.939
75000,30.273
75500,29.867
76000,30.928
76500,30.676
77000,30.786
77500,33.128
78000,33.509
78500,32.638
79000,31.963
79500,32.678
80000,33.488
80500,32.454
81000,32.487
81500,32.945
82000,33.094
82500,33.422
83000,34.349
83500,33.606
84000,34.525
84500,33.779
85000,34.562
85500,34.527
86000,35.653
86500,34.568
87000,35.594
87500,35.097
88000,36.396
88500,36.318
89000,36.476
89500,35.989
90000,37.912
90500,37.431
91000,37.829
91500,37.702
92000,38.215
92500,37.567
93000,38.496
93500,37.814
94000,38.24
94500,37.865
95000,38.398
95500,38.709
96000,40.227
96500,39.851
97000,40.193
97500,40.5
98000,40.611
98500,40.911
99000,40.907
99500,42.063
100000,40.806
