n,time_ms
500,0.124
1000,0.277
1500,0.431
2000,0.613
2500,0.752
3000,0.952
3500,1.078
4000,1.198
4500,1.427
5000,1.553
5500,1.758
6000,1.972
6500,2.145
7000,2.277
7500,2.22
8000,2.577
8500,2.873
9000,3.115
9500,3.137
10000,3.361
10500,3.538
11000,3.904
11500,3.586
12000,4.196
12500,4.369
13000,4.351
13500,4.858
14000,4.971
14500,5.115
15000,5.303
15500,5.487
16000,5.609
16500,5.891
17000,6.145
17500,6.48
18000,7.087
18500,6.991
19000,6.969
19500,7.252
20000,7.34
20500,8.027
21000,7.905
21500,7.816
22000,8.344
22500,8.245
23000,8.292
23500,8.609
24000,8.687
24500,8.955
25000,9.283
25500,9.395
26000,9.354
26500,9.575
27000,9.767
27500,9.83
28000,10.016
28500,10.733
29000,11.063
29500,10.88
30000,10.499
30500,11.212
31000,11.731
31500,11.495
32000,11.693
32500,11.788
33000,11.962
33500,12.476
34000,12.585
34500,12.741
35000,13.161
35500,13.422
36000,13.779
36500,13.753
37000,14.389
37500,13.995
38000,14.563
38500,14.798
39000,15.021
39500,14.763
40000,15.355
40500,15.666
41000,15.385
41500,16.05
42000,16.032
42500,15.75
43000,15.929
43500,17.473
44000,17.032
44500,17.327
45000,17.841
45500,17.301
46000,16.8
46500,17.697
47000,17.456
47500,18.78
48000,19.03
48500,18.429
49000,19.105
49500,19.47
50000,19.554
50500,18.905
51000,19.318
51500,19.906
52000,18.92
52500,18.368
53000,20.732
53500,20.247
54000,20.818
54500,20.58
55000,21.401
55500,20.472
56000,21.275
56500,21.904
57000,22.073
57500,22.561
58000,21.316
58500,22.007
59000,22.324
59500,22.691
60000,23.33
60500,23.399
61000,22.356
61500,23.524
62000,23.935
62500,23.585
63000,23.964
63500,23.877
64000,24.93
64500,25.93
65000,24.557
65500,24.894
66000,26.303
66500,26.306
67000,27.317
67500,26.434
68000,27.893
68500,28.951
69000,28.176
69500,28.15
70000,29.215
70500,28.67
71000,28.207
71500,28.763
72000,29.569
72500,29.957
73000,29.244
73500,29.693
74000,30.183
74500,31.096
75000,31.93
75500,30.466
76000,30.458
76500,31.806
77000,30.885
77500,31.79
78000,31.462
78500,31.298
79000,32.06
79500,32.071
80000,32.022
80500,33.895
81000,33.84
81500,34.063
82000,34.23
82500,33.582
83000,34.369
83500,35.01
84000,34.726
84500,35.442
85000,35.617
85500,35.303
86000,34.982
86500,36.781
87000,37.238
87500,36.892
88000,37.131
88500,37.198
89000,39.423
89500,37.445
90000,36.684
90500,38.781
91000,37.713
91500,37.98
92000,38.068
92500,38.535
93000,37.591
93500,37.623
94000,38.773
94500,39.58
95000,40.066
95500,39.861
96000,41.033
96500,41.289
97000,40.784
97500,39.908
98000,40.879
98500,41.914
99000,42.719
99500,42.213
100000,42.927
