n,time_ms
500,0.131
1000,0.296
1500,0.448
2000,0.61
2500,0.765
3000,0.961
3500,1.116
4000,1.315
4500,1.424
5000,1.789
5500,1.78
6000,1.986
6500,2.043
7000,2.338
7500,2.408
8000,2.601
8500,2.804
9000,3.056
9500,3.104
10000,3.314
10500,3.806
11000,3.694
11500,3.799
12000,4.205
12500,4.426
13000,4.653
13500,4.683
14000,4.688
14500,5.037
15000,5.048
15500,5.146
16000,5.493
16500,5.589
17000,6.056
17500,6.239
18000,6.397
18500,6.504
19000,6.711
19500,6.742
20000,7.197
20500,7.233
21000,7.685
21500,8.418
22000,8.381
22500,8.792
23000,8.098
23500,8.542
24000,8.68
24500,8.959
25000,9.109
25500,9.055
26000,9.569
26500,10.038
27000,9.823
27500,10.311
28000,10.423
28500,9.76
29000,10.467
29500,10.635
30000,10.551
30500,10.746
31000,10.94
31500,11.461
32000,11.607
32500,11.756
33000,12.244
33500,12.367
34000,12.711
34500,12.648
35000,13.257
35500,12.916
36000,13.425
36500,13.834
37000,13.612
37500,14.2
38000,13.839
38500,14.551
39000,14.663
39500,14.46
40000,14.677
40500,15.279
41000,15.259
41500,15.448
42000,15.451
42500,15.885
43000,15.847
43500,16.646
44000,16.532
44500,17.227
45000,16.785
45500,17.436
46000,17.325
46500,17.321
47000,17.807
47500,18.104
48000,19.067
48500,18.014
49000,18.5
49500,19.205
50000,18.724
50500,19.514
51000,19.062
51500,19.912
52000,19.953
52500,19.997
53000,22.788
53500,21.405
54000,22.999
54500,22.158
55000,21.218
55500,20.331
56000,21.172
56500,21.243
57000,21.188
57500,20.548
58000,21.903
58500,21.959
59000,22.332
59500,22.588
60000,23.489
60500,22.942
61000,23.719
61500,23.332
62000,23.204
62500,23.21
63000,23.574
63500,22.982
64000,23.739
64500,24.427
65000,24.276
65500,24.91
66000,25.949
66500,25.528
67000,26.08
67500,27.882
68000,28.166
68500,26.27
69000,27.161
69500,27.589
70000,27.101
70500,27.343
71000,27.805
71500,28.96
72000,28.632
72500,28.627
73000,28.841
73500,28.556
74000,29.638
74500,28.501
75000,29.627
75500,30.486
76000,30.195
76500,29.364
77000,30.521
77500,30.081
78000,31.787
78500,31.67
79000,31.563
79500,31.988
80000,31.483
80500,30.595
81000,32.654
81500,33.457
82000,33.706
82500,33.33
83000,34.3
83500,35.674
84000,36.166
84500,36.581
85000,36.099
85500,35.487
86000,34.859
86500,34.615
87000,34.583
87500,35.66
88000,37.009
88500,36.091
89000,36.4
89500,36.845
90000,36.896
90500,36.894
91000,36.538
91500,36.659
92000,38.776
92500,39.063
93000,40.839
93500,38.187
94000,39.123
94500,40.517
95000,38.991
95500,38.938
96000,38.805
96500,39.485
97000,39.677
97500,39.359
98000,40.96
98500,41.165
99000,41.537
99500,40.671
100000,41.223
