n,time_ms
500,0.147
1000,0.332
1500,0.508
2000,0.692
2500,0.893
3000,1.104
3500,1.295
4000,1.54
4500,1.765
5000,2.069
5500,2.234
6000,2.372
6500,2.557
7000,2.823
7500,2.999
8000,3.284
8500,3.491
9000,3.704
9500,3.971
10000,4.188
10500,4.36
11000,4.56
11500,4.829
12000,5.02
12500,5.263
13000,5.471
13500,5.732
14000,5.96
14500,6.297
15000,6.559
15500,6.711
16000,6.961
16500,7.213
17000,7.4
17500,7.646
18000,7.929
18500,8.266
19000,8.568
19500,8.78
20000,8.946
20500,9.165
21000,9.374
21500,10.128
22000,10.235
22500,10.688
23000,10.354
23500,10.609
24000,10.841
24500,11.051
25000,11.312
25500,11.525
26000,11.817
26500,12.252
27000,12.488
27500,13.048
28000,12.988
28500,13.053
29000,13.597
29500,13.576
30000,13.832
30500,14
31000,14.252
31500,14.441
32000,14.759
32500,15.044
33000,15.586
33500,15.504
34000,15.952
34500,16.167
35000,16.409
35500,16.459
36000,16.78
36500,16.984
37000,17.478
37500,17.854
38000,17.856
38500,18.096
39000,18.377
39500,18.686
40000,18.833
40500,19.066
41000,19.415
41500,19.546
42000,19.818
42500,20.08
43000,20.454
43500,20.637
44000,20.739
44500,21.301
45000,21.558
45500,21.763
46000,22.055
46500,22.3
47000,22.678
47500,22.88
48000,23.158
48500,23.604
49000,23.431
49500,23.803
50000,23.969
50500,25.146
51000,24.48
51500,24.734
52000,24.887
52500,25.82
53000,27.131
53500,27.466
54000,27.485
54500,27.913
55000,27.53
55500,26.784
56000,27.22
56500,27.541
57000,27.531
57500,27.932
58000,28.007
58500,28.306
59000,28.614
59500,28.975
60000,29.413
60500,29.591
61000,30.121
61500,29.987
62000,30.246
62500,30.389
63000,31.11
63500,30.859
64000,31.153
64500,31.655
65000,31.607
65500,31.739
66000,32.162
66500,32.416
67000,33.043
67500,33.148
68000,33.181
68500,33.367
69000,34.258
69500,35.362
70000,34.736
70500,34.834
71000,35.469
71500,35.417
72000,35.778
72500,36.211
73000,36.675
73500,36.365
74000,36.815
74500,36.609
75000,36.92
75500,37.177
76000,37.688
76500,38.126
77000,38.717
77500,38.919
78000,38.837
78500,39.882
79000,39.543
79500,40.343
80000,40.311
80500,39.926
81000,40.863
81500,40.538
82000,41.604
82500,41.383
83000,41.982
83500,43.318
84000,43.907
84500,44.814
85000,44.267
85500,43.255
86000,43.724
86500,43.903
87000,43.573
87500,44.063
88000,45.349
88500,45.42
89000,45.445
89500,45.59
90000,45.397
90500,45.832
91000,46.67
91500,46.184
92000,46.433
92500,47.778
93000,50.22
93500,47.648
94000,48.853
94500,49.986
95000,48.338
95500,48.187
96000,48.557
96500,48.752
97000,49.45
97500,49.49
98000,50.713
98500,50.465
99000,51.327
99500,50.684
100000,50.984
