n,time_ms
500,0.128
1000,0.289
1500,0.444
2000,0.595
2500,0.77
3000,0.965
3500,1.077
4000,1.364
4500,1.535
5000,1.783
5500,1.881
6000,1.968
6500,2.023
7000,2.255
7500,2.483
8000,2.707
8500,2.883
9000,2.982
9500,3.168
10000,3.492
10500,3.636
11000,3.745
11500,3.814
12000,4.096
12500,4.458
13000,4.508
13500,4.608
14000,4.986
14500,4.923
15000,5.382
15500,5.338
16000,5.46
16500,5.457
17000,6.066
17500,6.403
18000,6.635
18500,6.624
19000,6.998
19500,7.063
20000,7.069
20500,7.315
21000,7.595
21500,8.234
22000,8.336
22500,8.679
23000,8.383
23500,8.839
24000,8.923
24500,9.136
25000,9.314
25500,9.27
26000,9.393
26500,9.795
27000,9.859
27500,10.537
28000,10.584
28500,10.028
29000,10.378
29500,10.541
30000,11.014
30500,11.258
31000,11.13
31500,11.582
32000,11.684
32500,12.221
33000,12.581
33500,11.744
34000,13.659
34500,13.044
35000,13.411
35500,13.045
36000,13.49
36500,13.844
37000,13.858
37500,14.777
38000,14.213
38500,14.143
39000,14.939
39500,14.863
40000,15.078
40500,15.253
41000,15.07
41500,15.225
42000,16.295
42500,16.078
43000,16.534
43500,16.364
44000,17.005
44500,17.5
45000,17.232
45500,17.462
46000,17.454
46500,17.286
47000,17.608
47500,18.561
48000,19.015
48500,19.278
49000,18.997
49500,18.86
50000,19.469
50500,20.059
51000,19.561
51500,19.795
52000,18.456
52500,20.053
53000,21.984
53500,20.779
54000,22.741
54500,22.463
55000,21.347
55500,20.964
56000,22.297
56500,21.743
57000,21.503
57500,21.824
58000,21.744
58500,21.486
59000,22.323
59500,22.401
60000,23.57
60500,23.725
61000,23.31
61500,23.014
62000,23.29
62500,23.213
63000,23.977
63500,23.31
64000,24.486
64500,24.577
65000,25.094
65500,24.566
66000,26.377
66500,25.801
67000,26.648
67500,26.834
68000,27.3
68500,26.957
69000,27.522
69500,27.819
70000,28.184
70500,27.825
71000,29.254
71500,28.578
72000,28.364
72500,29.03
73000,29.932
73500,29.517
74000,30.029
74500,29.27
75000,30.064
75500,30.185
76000,30.985
76500,31.002
77000,31.339
77500,31.038
78000,31.614
78500,31.911
79000,31.689
79500,33.329
80000,32.645
80500,32.63
81000,33.222
81500,33.578
82000,33.823
82500,33.176
83000,34.719
83500,36.654
84000,35.343
84500,37.462
85000,36.182
85500,35.335
86000,35.597
86500,34.706
87000,35.419
87500,35.65
88000,36.612
88500,36.558
89000,36.65
89500,37.85
90000,36.455
90500,37.505
91000,37.134
91500,37.316
92000,38.356
92500,39.552
93000,39.867
93500,38.371
94000,39.836
94500,40.883
95000,39.591
95500,39.41
96000,39.369
96500,39.91
97000,40.404
97500,39.935
98000,41.536
98500,41.669
99000,41.865
99500,40.969
100000,42.054
